pr_number,title,state,created_at,merged_at,closed_at,author,issue_number
9753,fix(FlexItem): fix override flex prop by layout props,closed,2026-04-24T09:00:49Z,2026-04-24T09:18:57Z,2026-04-24T09:18:57Z,EldarMuhamethanov,
9752,"fix(Popover,Tooltip): disable flip middleware when lock floating position",closed,2026-04-22T13:01:42Z,2026-04-27T11:43:58Z,2026-04-27T11:43:58Z,EldarMuhamethanov,
9751,feat(ContentBadge): extend appearance prop with custom colors,closed,2026-04-22T10:33:28Z,2026-04-22T15:17:08Z,2026-04-22T15:17:08Z,EldarMuhamethanov,7729
9750,build(deps-dev): Bump rspack to 2.0.0,closed,2026-04-22T07:50:01Z,2026-04-22T12:56:25Z,2026-04-22T12:56:25Z,SevereCloud,
9749,feat: calendar time use combobox,closed,2026-04-21T15:47:56Z,2026-04-27T14:34:13Z,2026-04-27T14:34:14Z,SevereCloud,9066
9748,patch(8.1-stable): pr9746,closed,2026-04-21T14:48:00Z,2026-04-21T14:57:06Z,2026-04-21T14:57:06Z,EldarMuhamethanov,
9747,patch(8.1-stable): pr9746,closed,2026-04-21T14:46:08Z,,2026-04-21T14:46:53Z,EldarMuhamethanov,
9746,fix(Search): move onClearButtonPointerDown handler,closed,2026-04-21T12:10:41Z,2026-04-21T14:34:48Z,2026-04-21T14:34:48Z,EldarMuhamethanov,
9745,feat(PullToRefresh): remove FixedLayout using,closed,2026-04-21T10:07:58Z,2026-04-27T12:09:06Z,2026-04-27T12:09:06Z,EldarMuhamethanov,9356
9744,Corepack up,closed,2026-04-20T14:45:06Z,2026-04-20T14:58:17Z,2026-04-20T14:58:17Z,vkcom-publisher,
9743,Severe cloud/fix/calendar time/focus on minutes before hours,closed,2026-04-20T08:18:29Z,,2026-04-21T17:24:35Z,SevereCloud,
9742,build(deps): Bump typescript from 6.0.2 to 6.0.3,closed,2026-04-20T06:08:41Z,2026-04-20T07:24:33Z,2026-04-20T07:24:33Z,dependabot[bot],
9741,build(deps-dev): Bump cssnano from 7.1.4 to 7.1.5,closed,2026-04-20T06:08:20Z,2026-04-20T07:24:37Z,2026-04-20T07:24:37Z,dependabot[bot],
9740,build(deps): Bump @vkontakte/vkui-tokens from 4.76.0 to 4.76.1,closed,2026-04-20T06:08:00Z,2026-04-20T07:24:41Z,2026-04-20T07:24:41Z,dependabot[bot],
9739,build(deps-dev): Bump autoprefixer from 10.4.27 to 10.5.0,closed,2026-04-20T06:07:30Z,2026-04-20T14:58:32Z,2026-04-20T14:58:32Z,dependabot[bot],
9738,build(deps-dev): Bump @biomejs/biome from 2.4.11 to 2.4.12,closed,2026-04-20T06:07:12Z,2026-04-20T07:24:47Z,2026-04-20T07:24:47Z,dependabot[bot],
9737,build(deps-dev): Bump @swc/core from 1.15.24 to 1.15.30 in the swc group across 1 directory,closed,2026-04-20T06:06:45Z,2026-04-20T14:58:36Z,2026-04-20T14:58:36Z,dependabot[bot],
9736,build(deps-dev): Bump the size-limit group with 4 updates,closed,2026-04-20T06:06:14Z,2026-04-20T07:24:53Z,2026-04-20T07:24:53Z,dependabot[bot],
9735,build(deps-dev): Bump @vitest/eslint-plugin from 1.6.15 to 1.6.16 in the vitest group,closed,2026-04-20T06:05:12Z,2026-04-20T07:24:57Z,2026-04-20T07:24:57Z,dependabot[bot],
9734,build(deps-dev): Bump stylelint from 17.7.0 to 17.8.0 in the stylelint group,closed,2026-04-20T06:04:50Z,2026-04-20T07:25:00Z,2026-04-20T07:25:00Z,dependabot[bot],
9733,build(deps-dev): Bump the eslint group across 1 directory with 3 updates,closed,2026-04-20T06:04:43Z,2026-04-21T11:49:18Z,2026-04-21T11:49:18Z,dependabot[bot],
9732,build(deps-dev): Bump webpack from 5.106.1 to 5.106.2 in the webpack group across 1 directory,closed,2026-04-20T06:04:20Z,2026-04-20T12:27:16Z,2026-04-20T12:27:17Z,dependabot[bot],
9731,build(deps-dev): Bump postcss from 8.5.9 to 8.5.10 in the postcss group across 1 directory,closed,2026-04-20T06:03:54Z,2026-04-21T08:17:39Z,2026-04-21T08:17:39Z,dependabot[bot],
9730,build(deps): Bump dependabot/fetch-metadata from 2 to 3,open,2026-04-20T06:01:51Z,,,dependabot[bot],
9729,build(deps): Bump actions/github-script from 8 to 9,open,2026-04-20T06:01:46Z,,,dependabot[bot],
9728,patch(8.1-stable): pr9725,closed,2026-04-17T12:34:02Z,2026-04-17T14:28:31Z,2026-04-17T14:28:31Z,SevereCloud,
9727,fix(storybook): fix extract liter values from enum,closed,2026-04-17T10:42:46Z,2026-04-17T12:30:38Z,2026-04-17T12:30:38Z,EldarMuhamethanov,
9726,feat(layout): add margin support to layoutProps,closed,2026-04-17T09:48:05Z,2026-04-23T08:11:03Z,2026-04-23T08:11:03Z,EldarMuhamethanov,9713
9725,docs(FormItem): fix id,closed,2026-04-17T09:35:48Z,2026-04-17T12:31:13Z,2026-04-17T12:31:13Z,SevereCloud,
9724,tech(mcp): add publish-config,closed,2026-04-16T12:46:14Z,2026-04-16T12:46:41Z,2026-04-16T12:46:41Z,EldarMuhamethanov,
9723,chore: fix yarn lock,closed,2026-04-16T10:26:26Z,2026-04-16T10:34:24Z,2026-04-16T10:34:24Z,SevereCloud,
9722,build(deps): Bump hono from 4.12.12 to 4.12.14,closed,2026-04-16T10:22:08Z,,2026-04-16T10:35:40Z,dependabot[bot],
9721,build(deps): Bump dompurify from 3.3.2 to 3.4.0,closed,2026-04-16T04:34:00Z,2026-04-16T05:58:28Z,2026-04-16T05:58:28Z,dependabot[bot],
9720,docs(AdaptivityProvider): fix deprecated message,closed,2026-04-15T13:08:31Z,2026-04-16T07:30:01Z,2026-04-16T07:30:01Z,SevereCloud,
9719,docs: fix deprecated typo,closed,2026-04-15T13:05:48Z,2026-04-15T14:11:32Z,2026-04-15T14:11:32Z,SevereCloud,
9718,docs: Https to https,closed,2026-04-15T13:02:05Z,2026-04-15T14:14:52Z,2026-04-15T14:14:52Z,SevereCloud,
9717,chore: disable media query for useAutoDetectColorScheme,closed,2026-04-15T09:25:55Z,2026-04-15T11:57:14Z,2026-04-15T11:57:14Z,SevereCloud,
9716,docs: improve hooks documentation,closed,2026-04-15T08:21:44Z,2026-04-22T15:17:35Z,2026-04-22T15:17:35Z,EldarMuhamethanov,
9715,build(deps): Bump follow-redirects from 1.15.11 to 1.16.0,closed,2026-04-14T13:29:54Z,2026-04-15T07:10:41Z,2026-04-15T07:10:41Z,dependabot[bot],
9714,tech: use topological-dev flag for build workspaces,closed,2026-04-14T12:58:01Z,2026-04-14T16:00:01Z,2026-04-14T16:00:01Z,inomdzhon,
9712,patch(8.0-stable): bump to 8.0.1,closed,2026-04-14T10:28:33Z,2026-04-14T10:40:17Z,2026-04-14T10:40:17Z,inomdzhon,
9711,chore: Deduplicate dependencies on master,closed,2026-04-14T08:18:30Z,2026-04-14T13:27:07Z,2026-04-14T13:27:07Z,vkcom-publisher,
9710,ci(e2e): Update screenshots for 8.0-stable,closed,2026-04-13T14:37:26Z,2026-04-14T08:10:10Z,2026-04-14T08:10:10Z,github-actions[bot],
9709,patch(8.0-stable): pr9706,closed,2026-04-13T14:01:22Z,2026-04-13T14:31:59Z,2026-04-13T14:31:59Z,inomdzhon,
9708,feat(CustomSelect): mode deprecated,closed,2026-04-13T13:50:13Z,2026-04-14T08:12:52Z,2026-04-14T08:12:52Z,SevereCloud,
9706,fix(ImageBase): add container for image to cut filter blur effect,closed,2026-04-13T13:41:14Z,2026-04-13T13:56:05Z,2026-04-13T13:56:06Z,inomdzhon,
9705,build(deps-dev): update picomatch to 4.0.4,closed,2026-04-13T08:44:17Z,2026-04-13T11:40:22Z,2026-04-13T11:40:22Z,SevereCloud,
9704,build(deps-dev): update speech-rule-engine to 4.1.3,closed,2026-04-13T08:40:47Z,2026-04-13T11:40:08Z,2026-04-13T11:40:08Z,SevereCloud,
9703,build(deps-dev): update lodash-es to 4.18.1,closed,2026-04-13T08:38:02Z,2026-04-13T11:39:54Z,2026-04-13T11:39:54Z,SevereCloud,
9702,build(deps-dev): update vite to 8.0.8,closed,2026-04-13T08:35:00Z,2026-04-13T11:39:41Z,2026-04-13T11:39:41Z,SevereCloud,
9701,build(deps-dev): Bump next from 15.5.14 to 15.5.15,closed,2026-04-13T07:42:43Z,2026-04-13T08:15:53Z,2026-04-13T08:15:53Z,dependabot[bot],
9700,fix(CustomSelect): prop mode,closed,2026-04-13T07:23:00Z,2026-04-13T11:40:48Z,2026-04-13T11:40:48Z,SevereCloud,
9699,build(deps-dev): Bump dotenv from 17.4.1 to 17.4.2,closed,2026-04-13T06:04:17Z,2026-04-13T07:39:58Z,2026-04-13T07:39:58Z,dependabot[bot],
9698,build(deps): Bump @vkontakte/vkui-tokens from 4.75.2 to 4.76.0,closed,2026-04-13T06:04:02Z,2026-04-13T07:40:01Z,2026-04-13T07:40:01Z,dependabot[bot],
9697,build(deps-dev): Bump pagefind from 1.4.0 to 1.5.2,closed,2026-04-13T06:03:40Z,2026-04-13T07:40:05Z,2026-04-13T07:40:05Z,dependabot[bot],
9696,build(deps-dev): Bump @types/node from 25.5.0 to 25.6.0,closed,2026-04-13T06:03:20Z,2026-04-13T07:40:08Z,2026-04-13T07:40:08Z,dependabot[bot],
9695,build(deps-dev): Bump jsdom from 29.0.1 to 29.0.2,closed,2026-04-13T06:03:03Z,2026-04-13T12:12:25Z,2026-04-13T12:12:25Z,dependabot[bot],
9694,build(deps-dev): Bump @biomejs/biome from 2.4.10 to 2.4.11,closed,2026-04-13T06:02:39Z,2026-04-13T07:40:12Z,2026-04-13T07:40:12Z,dependabot[bot],
9693,build(deps-dev): Bump the vitest group with 3 updates,closed,2026-04-13T06:01:49Z,2026-04-13T07:40:15Z,2026-04-13T07:40:16Z,dependabot[bot],
9692,build(deps-dev): Bump stylelint from 17.6.0 to 17.7.0 in the stylelint group,closed,2026-04-13T06:00:55Z,2026-04-13T07:40:19Z,2026-04-13T07:40:19Z,dependabot[bot],4
9691,build(deps-dev): Bump webpack from 5.105.4 to 5.106.1 in the webpack group,closed,2026-04-13T06:00:27Z,2026-04-13T07:40:23Z,2026-04-13T07:40:23Z,dependabot[bot],
9690,build(deps-dev): Bump postcss from 8.5.8 to 8.5.9 in the postcss group across 1 directory,closed,2026-04-13T05:59:59Z,2026-04-13T08:15:46Z,2026-04-13T08:15:46Z,dependabot[bot],
9689,build(deps): Bump the storybook group with 6 updates,closed,2026-04-13T05:59:31Z,2026-04-13T07:40:26Z,2026-04-13T07:40:26Z,dependabot[bot],
9688,build(deps): Bump next from 16.2.1 to 16.2.3 in /examples/vkui-nextjs-ts,closed,2026-04-10T23:25:03Z,2026-04-13T07:40:29Z,2026-04-13T07:40:30Z,dependabot[bot],
9687,fix(storybook): fix controls generation,closed,2026-04-10T15:57:21Z,2026-04-13T07:46:40Z,2026-04-13T07:46:40Z,EldarMuhamethanov,
9686,tech(useFocusVisible): refactor hook without AppRootContext,open,2026-04-10T11:13:00Z,,,EldarMuhamethanov,
9685,feat(docs): add external sandboxes to playground,closed,2026-04-09T09:43:33Z,2026-04-10T09:26:10Z,2026-04-10T09:26:10Z,EldarMuhamethanov,
9684,tech: fix css styles in build,closed,2026-04-09T09:17:29Z,2026-04-09T09:27:01Z,2026-04-09T09:27:01Z,EldarMuhamethanov,
9683,fix(DateInput): fix navigation by tab in FocusTrap,closed,2026-04-07T13:32:13Z,2026-04-08T09:38:59Z,2026-04-08T09:38:59Z,EldarMuhamethanov,
9682,build(deps-dev): Bump vite from 8.0.0 to 8.0.5 in /examples/vkui-vite-ts,closed,2026-04-06T18:04:57Z,2026-04-10T09:28:54Z,2026-04-10T09:28:55Z,dependabot[bot],
9681,build(deps-dev): Bump @types/node from 25.5.0 to 25.5.2,closed,2026-04-06T06:00:39Z,2026-04-06T07:16:05Z,2026-04-06T07:16:05Z,dependabot[bot],
9680,build(deps-dev): Bump cssnano from 7.1.3 to 7.1.4,closed,2026-04-06T06:00:15Z,2026-04-06T07:16:08Z,2026-04-06T07:16:08Z,dependabot[bot],
9679,build(deps-dev): Bump @biomejs/biome from 2.4.9 to 2.4.10,closed,2026-04-06T05:59:56Z,2026-04-06T07:16:11Z,2026-04-06T07:16:12Z,dependabot[bot],
9678,build(deps-dev): Bump dotenv from 17.3.1 to 17.4.1,closed,2026-04-06T05:59:31Z,2026-04-06T07:16:16Z,2026-04-06T07:16:16Z,dependabot[bot],
9677,build(deps-dev): Bump the rspack group with 2 updates,closed,2026-04-06T05:59:13Z,2026-04-06T07:16:21Z,2026-04-06T07:16:21Z,dependabot[bot],
9676,build(deps): Bump the swc group across 1 directory with 3 updates,closed,2026-04-06T05:58:32Z,2026-04-06T15:26:47Z,2026-04-06T15:26:47Z,dependabot[bot],
9675,build(deps-dev): Bump @vitest/eslint-plugin from 1.6.13 to 1.6.14 in the vitest group,closed,2026-04-06T05:57:06Z,2026-04-06T07:16:24Z,2026-04-06T07:16:24Z,dependabot[bot],
9674,build(deps-dev): Bump the playwright group across 1 directory with 2 updates,closed,2026-04-06T05:56:30Z,2026-04-13T12:20:09Z,2026-04-13T12:20:09Z,dependabot[bot],
9673,build(deps): Bump the storybook group with 6 updates,closed,2026-04-06T05:55:26Z,2026-04-06T07:16:28Z,2026-04-06T07:16:28Z,dependabot[bot],
9672,Node.js version update,closed,2026-04-06T05:44:13Z,2026-04-06T15:44:08Z,2026-04-06T15:44:09Z,vkcom-publisher,
9670,feat: fix close floating elements and modals when esc keydown,open,2026-04-03T11:20:28Z,,,EldarMuhamethanov,
9669,feat: make useReducedMotion stable,closed,2026-04-03T10:42:58Z,2026-04-15T08:15:27Z,2026-04-15T08:15:27Z,SevereCloud,
9668,chore: add useMediaQueryMatches,closed,2026-04-03T10:37:23Z,2026-04-15T08:15:13Z,2026-04-15T08:15:13Z,SevereCloud,
9667,fix(codemodes): add enterKeyHint to excludedProps for Search and Input,closed,2026-04-03T09:36:14Z,2026-04-03T09:51:34Z,2026-04-03T09:51:34Z,inomdzhon,
9666,"fix(Search,Input): add missed enterKeyHint to base props",closed,2026-04-03T08:47:10Z,2026-04-03T09:17:52Z,2026-04-03T09:17:52Z,inomdzhon,
9665,feat(useResizeObserver): optimize and refactor hook,open,2026-04-02T14:14:00Z,,,EldarMuhamethanov,
9664,docs: use esm.cdn-vk.ru for vkui-tokens,closed,2026-04-02T13:44:15Z,2026-04-07T15:30:42Z,2026-04-07T15:30:42Z,SevereCloud,
9663,fix(Clickable): fix hasActive changing,closed,2026-04-02T11:15:20Z,2026-04-02T12:09:14Z,2026-04-02T12:09:14Z,EldarMuhamethanov,8783
9662,feat: enable exactOptionalPropertyTypes,closed,2026-03-31T20:25:02Z,2026-04-06T15:58:41Z,2026-04-06T15:58:41Z,SevereCloud,3573
9661,tech(mcp): add deploy mcp-data workflow,closed,2026-03-30T13:58:37Z,2026-03-31T08:46:54Z,2026-03-31T08:46:54Z,EldarMuhamethanov,
9660,chore: todo to v9,closed,2026-03-30T13:56:05Z,2026-03-30T13:56:50Z,2026-03-30T13:56:50Z,SevereCloud,
9659,build(deps-dev): Bump @biomejs/biome from 2.4.8 to 2.4.9,closed,2026-03-30T06:00:56Z,2026-03-30T07:17:03Z,2026-03-30T07:17:03Z,dependabot[bot],
9658,build(deps): Bump typescript from 5.9.3 to 6.0.2,closed,2026-03-30T06:00:33Z,,2026-03-30T13:30:47Z,dependabot[bot],
9657,build(deps): Bump @vkontakte/vkui-tokens from 4.75.0 to 4.75.2,closed,2026-03-30T06:00:11Z,2026-03-30T07:17:06Z,2026-03-30T07:17:06Z,dependabot[bot],
9656,build(deps-dev): Bump mini-css-extract-plugin from 2.10.1 to 2.10.2,closed,2026-03-30T05:59:41Z,2026-03-30T07:17:10Z,2026-03-30T07:17:10Z,dependabot[bot],
9655,build(deps-dev): Bump the rspack group with 2 updates,closed,2026-03-30T05:59:23Z,2026-03-30T07:17:14Z,2026-03-30T07:17:14Z,dependabot[bot],
9654,build(deps): Bump @swc/helpers from 0.5.19 to 0.5.20 in the swc group across 1 directory,closed,2026-03-30T05:58:44Z,2026-03-30T07:36:46Z,2026-03-30T07:36:46Z,dependabot[bot],
9653,build(deps-dev): Bump the vitest group with 2 updates,closed,2026-03-30T05:58:04Z,2026-03-30T07:17:20Z,2026-03-30T07:17:20Z,dependabot[bot],
9652,build(deps-dev): Bump stylelint from 17.5.0 to 17.6.0 in the stylelint group,closed,2026-03-30T05:57:22Z,2026-03-30T07:17:23Z,2026-03-30T07:17:23Z,dependabot[bot],2
9651,build(deps): Bump the storybook group with 7 updates,closed,2026-03-30T05:56:28Z,2026-03-30T07:17:27Z,2026-03-30T07:17:27Z,dependabot[bot],
9650,Node.js version update,closed,2026-03-30T05:43:37Z,2026-03-30T07:17:43Z,2026-03-30T07:17:44Z,vkcom-publisher,
9649,build(deps): Bump serialize-javascript from 7.0.4 to 7.0.5,closed,2026-03-29T22:38:26Z,2026-03-30T07:18:33Z,2026-03-30T07:18:33Z,dependabot[bot],
9648,build(deps): Bump node-forge from 1.3.3 to 1.4.0,closed,2026-03-29T02:41:16Z,2026-03-30T07:36:25Z,2026-03-30T07:36:25Z,dependabot[bot],
9647,docs: fix useModalManager and useSnackbar overview links,closed,2026-03-27T12:30:57Z,2026-03-30T08:27:52Z,2026-03-30T08:27:52Z,EldarMuhamethanov,
9646,build(deps): Bump codecov/codecov-action from 5 to 6,closed,2026-03-27T05:52:37Z,2026-04-17T10:34:20Z,2026-04-17T10:34:20Z,dependabot[bot],
9645,feat: add adptive layout/components props,closed,2026-03-26T15:30:09Z,,2026-03-26T15:30:53Z,SevereCloud,
9643,build(deps): Bump picomatch from 2.3.1 to 2.3.2,closed,2026-03-25T23:01:06Z,2026-03-26T06:45:17Z,2026-03-26T06:45:17Z,dependabot[bot],
9642,build(deps): Bump picomatch from 2.3.1 to 2.3.2 in /examples/vkui-nextjs-ts,closed,2026-03-25T22:59:28Z,2026-03-26T06:45:51Z,2026-03-26T06:45:51Z,dependabot[bot],
9641,fix: rm unused css,closed,2026-03-25T16:02:32Z,2026-04-10T11:57:38Z,2026-04-10T11:57:38Z,SevereCloud,
9640,docs: fix examples with onClosed prop after v8 changes,closed,2026-03-25T14:55:02Z,2026-03-25T15:19:31Z,2026-03-25T15:19:31Z,EldarMuhamethanov,
9639,build(deps-dev): update typescript to v6,closed,2026-03-25T08:31:09Z,2026-03-30T13:29:33Z,2026-03-30T13:29:33Z,SevereCloud,
9638,feat(Search): add clearButton slot to slotProps,closed,2026-03-24T15:38:43Z,2026-03-30T08:07:41Z,2026-03-30T08:07:41Z,EldarMuhamethanov,9637
9636,build(deps-dev): rm canvas,closed,2026-03-23T08:07:06Z,2026-03-23T15:51:00Z,2026-03-23T15:51:00Z,SevereCloud,
9635,build(deps): Bump flatted from 3.3.4 to 3.4.2 in /examples/vkui-nextjs-ts,closed,2026-03-23T07:39:04Z,2026-03-23T07:50:39Z,2026-03-23T07:50:39Z,dependabot[bot],
9634,build(deps-dev): Bump @types/node from 25.3.5 to 25.5.0,closed,2026-03-23T06:00:07Z,2026-03-23T07:40:23Z,2026-03-23T07:40:23Z,dependabot[bot],
9633,build(deps-dev): Bump canvas from 3.2.1 to 3.2.2,closed,2026-03-23T05:59:40Z,2026-03-23T07:40:07Z,2026-03-23T07:40:07Z,dependabot[bot],
9632,build(deps-dev): Bump jsdom from 28.0.0 to 29.0.1,closed,2026-03-23T05:59:28Z,2026-03-26T11:08:36Z,2026-03-26T11:08:36Z,dependabot[bot],
9631,build(deps-dev): Bump @biomejs/biome from 2.4.7 to 2.4.8,closed,2026-03-23T05:59:10Z,2026-03-23T07:39:48Z,2026-03-23T07:39:48Z,dependabot[bot],
9630,build(deps-dev): Bump the rspack group with 2 updates,closed,2026-03-23T05:58:48Z,2026-03-23T07:41:21Z,2026-03-23T07:41:21Z,dependabot[bot],
9629,build(deps-dev): Bump @swc/core from 1.15.18 to 1.15.21 in the swc group,closed,2026-03-23T05:58:11Z,2026-03-23T07:39:31Z,2026-03-23T07:39:31Z,dependabot[bot],
9628,build(deps-dev): Bump @vitest/eslint-plugin from 1.6.12 to 1.6.13 in the vitest group,closed,2026-03-23T05:57:35Z,2026-03-23T07:39:13Z,2026-03-23T07:39:13Z,dependabot[bot],
9627,build(deps-dev): Bump the stylelint group with 2 updates,closed,2026-03-23T05:57:17Z,2026-03-23T07:38:27Z,2026-03-23T07:38:27Z,dependabot[bot],7
9626,build(deps-dev): Bump webpack-cli from 7.0.0 to 7.0.2 in the webpack group,closed,2026-03-23T05:56:39Z,2026-03-23T07:38:01Z,2026-03-23T07:38:02Z,dependabot[bot],
9625,build(deps): Bump the storybook group with 6 updates,closed,2026-03-23T05:56:08Z,2026-03-23T07:37:42Z,2026-03-23T07:37:42Z,dependabot[bot],
9624,chore: rm CustomResizeObserver,closed,2026-03-20T16:07:36Z,2026-03-23T14:07:59Z,2026-03-23T14:07:59Z,SevereCloud,
9623,chore(Flex): rm gap,closed,2026-03-20T15:39:27Z,2026-03-23T14:10:47Z,2026-03-23T14:10:47Z,SevereCloud,
9622,build(deps): Bump flatted from 3.3.3 to 3.4.2,closed,2026-03-20T14:08:57Z,2026-03-20T14:12:23Z,2026-03-20T14:12:23Z,dependabot[bot],
9621,build(deps-dev): Bump next from 15.5.11 to 15.5.14,closed,2026-03-20T14:08:47Z,,2026-03-20T14:14:27Z,dependabot[bot],
9620,build(deps): Bump flatted from 3.4.1 to 3.4.2 in /examples/vkui-vite-ts,closed,2026-03-20T14:07:25Z,2026-03-20T14:12:27Z,2026-03-20T14:12:27Z,dependabot[bot],
9619,build(deps-dev): Bump next to 15.5.14,closed,2026-03-20T13:54:21Z,2026-03-20T14:12:30Z,2026-03-20T14:12:31Z,SevereCloud,
9618,tech: rm clean-webpack-plugin,closed,2026-03-20T13:47:41Z,2026-03-20T14:05:22Z,2026-03-20T14:05:22Z,SevereCloud,
9617,patch(v7): pr9603,closed,2026-03-20T12:58:43Z,2026-03-20T14:02:55Z,2026-03-20T14:02:55Z,SevereCloud,
9616,patch(7.11-stable): pr9603,closed,2026-03-20T12:57:08Z,2026-03-20T14:03:00Z,2026-03-20T14:03:00Z,SevereCloud,
9615,docs(Flex): deprecation message about Box,closed,2026-03-19T15:17:12Z,2026-03-23T14:09:05Z,2026-03-23T14:09:05Z,SevereCloud,
9613,patch(v7): pr9604,closed,2026-03-19T12:04:45Z,2026-03-19T15:44:52Z,2026-03-19T15:44:52Z,SevereCloud,
9612,patch: pr9604,closed,2026-03-19T12:03:36Z,2026-03-19T15:45:12Z,2026-03-19T15:45:12Z,SevereCloud,
9611,tech(Snackbar): export BasicProps type from package,closed,2026-03-19T10:01:38Z,2026-03-19T10:46:33Z,2026-03-19T10:46:33Z,EldarMuhamethanov,
9610,fix(FormItem): className in subcomponents,closed,2026-03-19T09:24:27Z,2026-03-30T14:26:48Z,2026-03-30T14:26:48Z,SevereCloud,
9609,feat: add justifySelf,closed,2026-03-19T08:35:23Z,2026-03-30T14:24:05Z,2026-03-30T14:24:05Z,SevereCloud,9614
9608,fix(OnboardingTooltip): fix flaky tests,closed,2026-03-19T08:16:41Z,2026-04-06T14:24:29Z,2026-04-06T14:24:29Z,EldarMuhamethanov,
9607,build(deps-dev): Bump next from 15.5.11 to 16.1.7,closed,2026-03-18T08:45:27Z,,2026-03-20T14:08:50Z,dependabot[bot],16
9606,build(deps): Bump next from 16.1.6 to 16.1.7 in /examples/vkui-nextjs-ts,closed,2026-03-17T20:52:16Z,2026-03-18T08:42:45Z,2026-03-18T08:42:45Z,dependabot[bot],16
9605,feat: add autosave code in playground editors,closed,2026-03-17T15:48:59Z,,2026-03-18T08:16:30Z,EldarMuhamethanov,
9604,fix(View): check animation bubbling,closed,2026-03-17T10:59:36Z,2026-03-19T12:00:15Z,2026-03-19T12:00:15Z,SevereCloud,
9603,fix: LockFloatingPositionContext,closed,2026-03-17T10:16:34Z,2026-03-20T12:48:47Z,2026-03-20T12:48:47Z,SevereCloud,
9601,build(deps-dev): Bump lint-staged from 16.3.2 to 16.4.0,closed,2026-03-16T06:01:37Z,2026-03-16T07:41:32Z,2026-03-16T07:41:32Z,dependabot[bot],
9600,build(deps-dev): Bump @biomejs/biome from 2.4.6 to 2.4.7,closed,2026-03-16T06:01:21Z,2026-03-16T07:41:36Z,2026-03-16T07:41:36Z,dependabot[bot],
9599,build(deps): Bump @vkontakte/vkui-tokens from 4.74.0 to 4.75.0,closed,2026-03-16T06:00:58Z,2026-03-16T07:41:39Z,2026-03-16T07:41:39Z,dependabot[bot],
9598,build(deps-dev): Bump mini-css-extract-plugin from 2.10.0 to 2.10.1,closed,2026-03-16T06:00:35Z,2026-03-16T08:36:29Z,2026-03-16T08:36:29Z,dependabot[bot],
9597,build(deps-dev): Bump @types/node from 25.3.5 to 25.5.0,closed,2026-03-16T06:00:19Z,2026-03-16T07:41:44Z,2026-03-16T07:41:44Z,dependabot[bot],
9596,build(deps-dev): Bump jsdom from 28.0.0 to 29.0.0,closed,2026-03-16T06:00:02Z,,2026-03-23T05:59:30Z,dependabot[bot],
9595,build(deps-dev): Bump zustand from 5.0.11 to 5.0.12,closed,2026-03-16T05:59:36Z,2026-03-16T07:41:48Z,2026-03-16T07:41:48Z,dependabot[bot],
